exp_label,turn_index,group_label,input_tokens,prefix_hit_tokens,computation_tokens,blocking_ms,prefill_ms,kv_history_tokens,resident_kv_mib,prefill_baseline_ms,prefill_residual_ms,prefill_cost_per_token,kv_bin
exp1,1,Group1,50.0,48.0,2.0,0.1032,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.2598,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group2,47.0,0.0,47.0,0.5258,361.8876120017376,0.0,0.0,7.833333333333333,354.05427866840427,7.699736425568885,Low KV
exp1,1,Group2,53.0,0.0,53.0,0.4883,361.8876120017376,0.0,0.0,8.833333333333332,353.05427866840427,6.828068150976181,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.0346,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group2,53.0,48.0,5.0,0.2427,361.8876120017376,0.0,0.0,0.8333333333333333,361.05427866840427,72.37752240034752,Low KV
exp1,1,Group2,53.0,48.0,5.0,0.0517,361.8876120017376,0.0,0.0,0.8333333333333333,361.05427866840427,72.37752240034752,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.3455,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group2,53.0,48.0,5.0,0.4345,361.8876120017376,0.0,0.0,0.8333333333333333,361.05427866840427,72.37752240034752,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.0689,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.452,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.3801,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.2938,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.2769,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.086,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group2,586.0,0.0,586.0,0.1892,361.8876120017376,0.0,0.0,97.66666666666666,264.22094533507095,0.6175556518800983,Low KV
exp1,1,Group1,50.0,0.0,50.0,0.4696,361.8876120017376,0.0,0.0,8.333333333333332,353.55427866840427,7.237752240034752,Low KV
exp1,1,Group1,69.0,0.0,69.0,0.0177,361.8876120017376,0.0,0.0,11.5,350.3876120017376,5.244748000025182,Low KV
exp1,1,Group1,840.0,0.0,840.0,0.0476,231.47081800561864,0.0,0.0,140.0,91.47081800561864,0.2755604976257365,Low KV
exp1,1,Group1,636.0,0.0,636.0,0.5488,361.8876120017376,0.0,0.0,106.0,255.88761200173758,0.569005679248015,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.3989,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group1,840.0,832.0,8.0,0.3282,361.8876120017376,0.0,0.0,1.3333333333333333,360.55427866840427,45.2359515002172,Low KV
exp1,1,Group1,243.0,0.0,243.0,0.5069,361.8876120017376,0.0,0.0,40.5,321.3876120017376,1.489249432105916,Low KV
exp1,1,Group1,47.0,32.0,15.0,0.2082,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.3109,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.1373,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.4167,361.8876120017376,0.0,0.0,0.3333333333333333,361.55427866840427,180.9438060008688,Low KV
exp1,1,Group1,243.0,240.0,3.0,0.1718,361.8876120017376,0.0,0.0,0.5,361.3876120017376,120.6292040005792,Low KV
exp1,1,Group1,49.0,48.0,1.0,0.1545,361.8876120017376,0.0,0.0,0.16666666666666666,361.7209453350709,361.8876120017376,Low KV
exp1,1,Group2,905.0,0.0,905.0,0.1203,361.8876120017376,0.0,0.0,150.83333333333331,211.05427866840427,0.3998758143665609,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.2253,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,1,Group2,47.0,32.0,15.0,0.3625,361.8876120017376,0.0,0.0,2.5,359.3876120017376,24.12584080011584,Low KV
exp1,2,Group1,2240.0,48.0,2192.0,0.4239,7102.8744600043865,2100.0,65.625,365.3333333333333,6737.5411266710535,3.240362436133388,Low KV
exp1,2,Group2,1685.0,576.0,1109.0,7103.2319,5311.355782003375,1100.0,34.375,184.83333333333331,5126.522448670042,4.789319911635144,Low KV
exp1,2,Group2,613.0,48.0,565.0,2484.5744,9413.168665996636,561.0,17.53125,94.16666666666666,9319.00199932997,16.660475515038293,Low KV
exp1,2,Group2,613.0,48.0,565.0,7103.2481,5311.355782003375,561.0,17.53125,94.16666666666666,5217.189115336708,9.40062970266084,Low KV
exp1,2,Group2,1736.0,896.0,840.0,0.0369,3238.3888869953807,1418.0,44.3125,140.0,3098.3888869953807,3.8552248654706913,Low KV
exp1,2,Group2,613.0,48.0,565.0,0.0148,3238.3888869953807,561.0,17.53125,94.16666666666666,3144.2222203287142,5.7316617468944795,Low KV
exp1,2,Group2,811.0,48.0,763.0,0.3619,7102.8744600043865,567.0,17.71875,127.16666666666666,6975.7077933377195,9.309140838799982,Low KV
exp1,2,Group2,613.0,48.0,565.0,2484.6234,9413.168665996636,561.0,17.53125,94.16666666666666,9319.00199932997,16.660475515038293,Low KV
exp1,2,Group2,613.0,48.0,565.0,7103.2154,5311.355782003375,561.0,17.53125,94.16666666666666,5217.189115336708,9.40062970266084,Low KV
exp1,2,Group2,811.0,48.0,763.0,2484.5079,9413.168665996636,567.0,17.71875,127.16666666666666,9286.00199932997,12.337049365657453,Low KV
exp1,2,Group2,613.0,48.0,565.0,2484.4429,9930.177299000206,561.0,17.53125,94.16666666666666,9836.01063233354,17.57553504247824,Low KV
exp1,2,Group2,613.0,48.0,565.0,0.3818,7102.8744600043865,561.0,17.53125,94.16666666666666,7008.7077933377195,12.571459221246702,Low KV
exp1,2,Group1,2367.0,64.0,2303.0,0.0341,787.5461780058686,2119.0,66.21875,383.8333333333333,403.71284467253525,0.3419653399938639,Low KV
exp1,2,Group1,2240.0,48.0,2192.0,0.0293,3238.3888869953807,2100.0,65.625,365.3333333333333,2873.0555536620473,1.4773671929723453,Low KV
exp1,2,Group1,2549.0,240.0,2309.0,0.3113,7102.8744600043865,2293.0,71.65625,384.8333333333333,6718.0411266710535,3.076169103509912,Low KV
exp1,2,Group1,2239.0,48.0,2191.0,2484.4755,9413.168665996636,2099.0,65.59375,365.16666666666663,9048.00199932997,4.296288756730551,Low KV
exp1,2,Group1,2922.0,832.0,2090.0,0.0078,3238.3888869953807,2890.0,90.3125,348.3333333333333,2890.0555536620473,1.5494683669834357,Mid KV
exp1,2,Group1,2240.0,48.0,2192.0,2484.5238,9413.168665996636,2100.0,65.625,365.3333333333333,9047.835332663302,4.294328770983867,Low KV
exp1,2,Group1,2239.0,48.0,2191.0,0.2948,7102.8744600043865,2099.0,65.59375,365.16666666666663,6737.7077933377195,3.241841378368045,Low KV
exp1,2,Group1,2149.0,48.0,2101.0,0.022,3238.3888869953807,2097.0,65.53125,350.16666666666663,2888.2222203287142,1.5413559671562973,Low KV
exp1,2,Group1,2947.0,832.0,2115.0,2484.4917,9413.168665996636,2890.0,90.3125,352.5,9060.668665996636,4.450670764064603,Mid KV
exp1,2,Group1,2240.0,48.0,2192.0,2484.4592,9413.168665996636,2100.0,65.625,365.3333333333333,9047.835332663302,4.294328770983867,Low KV
exp1,2,Group1,2549.0,240.0,2309.0,2484.5907,9413.168665996636,2293.0,71.65625,384.8333333333333,9028.335332663302,4.076729608487066,Low KV
exp1,2,Group1,2731.0,624.0,2107.0,0.2616,11897.547123997356,2685.0,83.90625,351.16666666666663,11546.38045733069,5.646676375888636,Low KV
