exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,computation_tokens,kv_history_tokens,resident_kv_mib,prefill_ms,baseline_prefill_ms,prefill_residual_ms,prefill_cost_per_token,batch_total_input_tokens,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_group1_resident_kv_mib,batch_group2_resident_kv_mib,batch_estimated_prefill_rounds,peer_mean_resident_kv_mib,peer_mean_computation_tokens,batch_pressure_bin
exp1,1,11,Group1,50.0,48.0,2.0,0.0,0.0,361.8876120017376,0.3333333333333333,361.55427866840427,180.9438060008688,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.70967741935483,Low
exp1,1,26,Group2,47.0,32.0,15.0,0.0,0.0,361.8876120017376,2.5,359.3876120017376,24.12584080011584,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.29032258064517,Low
exp1,1,25,Group2,47.0,0.0,47.0,0.0,0.0,361.8876120017376,7.833333333333333,354.05427866840427,7.699736425568885,5540.0,3620.0,0.0,0.0,0.0,1,0.0,115.25806451612904,Low
exp1,1,30,Group2,53.0,0.0,53.0,0.0,0.0,361.8876120017376,8.833333333333332,353.05427866840427,6.828068150976181,5540.0,3620.0,0.0,0.0,0.0,1,0.0,115.06451612903226,Low
exp1,1,17,Group2,47.0,32.0,15.0,0.0,0.0,361.8876120017376,2.5,359.3876120017376,24.12584080011584,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.29032258064517,Low
exp1,1,29,Group2,53.0,48.0,5.0,0.0,0.0,361.8876120017376,0.8333333333333333,361.05427866840427,72.37752240034752,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.61290322580645,Low
exp1,1,32,Group2,53.0,48.0,5.0,0.0,0.0,361.8876120017376,0.8333333333333333,361.05427866840427,72.37752240034752,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.61290322580645,Low
exp1,1,24,Group2,47.0,32.0,15.0,0.0,0.0,361.8876120017376,2.5,359.3876120017376,24.12584080011584,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.29032258064517,Low
exp1,1,31,Group2,53.0,48.0,5.0,0.0,0.0,361.8876120017376,0.8333333333333333,361.05427866840427,72.37752240034752,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.61290322580645,Low
exp1,1,18,Group2,47.0,32.0,15.0,0.0,0.0,361.8876120017376,2.5,359.3876120017376,24.12584080011584,5540.0,3620.0,0.0,0.0,0.0,1,0.0,116.29032258064517,Low
