blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,8,1851.0000,0.225952,301.6764
lt100,exp1,2,8,11472.0000,1.400391,2427.2858
lt100,exp1,3,8,11717.0000,1.430298,4299.3191
lt100,exp1,4,8,11401.0000,1.391724,6409.8188
lt100,exp1,5,8,10771.0000,1.314819,8585.7910
lt100,exp1,6,8,11608.0000,1.416992,11865.5473
lt100,exp1,7,8,11498.0000,1.403564,14852.2409
lt100,exp1,8,8,12072.0000,1.473633,18477.4066
lt100,exp1,9,8,11147.0000,1.360718,20496.5335
lt100,exp1,10,8,10722.0000,1.308838,25893.5817
lt100,exp2,1,8,1851.0000,0.225952,301.6764
lt100,exp2,2,8,11472.0000,1.400391,2427.2858
lt100,exp2,3,8,11717.0000,1.430298,4299.3191
lt100,exp2,4,8,11401.0000,1.391724,6409.8188
lt100,exp2,5,8,10771.0000,1.314819,8585.7910
lt100,exp2,6,8,11608.0000,1.416992,11865.5473
lt100,exp2,7,8,11498.0000,1.403564,14852.2409
lt100,exp2,8,8,12072.0000,1.473633,18477.4066
lt100,exp2,9,8,11147.0000,1.360718,20496.5335
lt100,exp2,10,8,10722.0000,1.308838,25893.5817
lt100,exp3,1,8,1851.0000,0.225952,301.6764
lt100,exp3,2,8,11472.0000,1.400391,2427.2858
lt100,exp3,3,8,11717.0000,1.430298,4299.3191
lt100,exp3,4,8,11401.0000,1.391724,6409.8188
lt100,exp3,5,8,10771.0000,1.314819,8585.7910
lt100,exp3,6,8,11608.0000,1.416992,11865.5473
lt100,exp3,7,8,11498.0000,1.403564,14852.2409
lt100,exp3,8,8,12072.0000,1.473633,18477.4066
lt100,exp3,9,8,11147.0000,1.360718,20496.5335
lt100,exp3,10,8,10722.0000,1.308838,25893.5817
